0.8 -0.22141361376887528
0.81 -0.2089910937195295
0.82 -0.1967210011672136
0.83 -0.1845996405854418
0.84 -0.17262344963949228
0.85 -0.1607889917534024
0.86 -0.14909295236315417
0.87 -0.13753212979289484
0.88 -0.12610343393432424
0.89 -0.11480387878101377
0.9 -0.10363057814219168
0.91 -0.0925807420189712
0.92 -0.08165167137869349
0.93 -0.07084075534817422
0.94 -0.06014546612600442
0.95 -0.049563356939322706
0.96 -0.03909205699556824
0.97 -0.028729269702319402
0.98 -0.018472770251304664
0.99 -0.008320397271033585
1.0 0.0017299379247704399
1.01 0.41129206576621297
1.02 0.7181877027529858
1.03 0.9665705144778763
1.04 1.1770334825914242
1.05 1.3608677028529177
1.06 1.5249394156856177
1.07 1.6737380623539497
1.08 1.8103613421432083
1.09 1.937037500519751
1.1 2.0554234756956307
1.11 2.166785256841793
1.12 2.272112236405643
1.13 2.3721925722271755
1.14 2.467664505446255
1.15 2.5590522847425694
1.16 2.646791928595521
1.17 2.7312500990574207
1.18 2.812738165977605
1.19 2.8915228868611766
1.2 2.9678346135906306
